A.3.2.99.0.32.0.0.6,GEM96 ( 192.168.3.96),3206 Error,2017-10-03 17:34:33,Unknown error or wrong error pattern.,
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-03 18:00:00-04,See 192.168.226.102_031017_1507068061483.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,GEM96 ( 192.168.3.96),3206 Error,2017-10-03 17:34:33,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-03 19:00:00-04,See 192.168.3.83_031017_1507071662047.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-03 19:00:00-04,See 192.168.226.102_031017_1507071661361.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-03 20:00:00-04,See 192.168.226.102_031017_1507075261416.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-03 20:00:00-04,See 192.168.3.83_031017_1507075261551.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-03 21:00:00-04,See 192.168.226.102_031017_1507078862242.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-03 21:00:00-04,See 192.168.3.83_031017_1507078861602.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-03 22:00:00-04,See 192.168.226.102_031017_1507082461334.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-03 22:00:00-04,See 192.168.3.83_031017_1507082461585.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 17:04:40,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-10-03 23:00:00-04,See 192.168.226.102_031017_1507086061386.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.5,gwp383 (192.168.3.83),Freeze, 2017-10-03 23:00:00-04,See 192.168.3.83_031017_1507086061614.png capture for details.This error is related with CR 17702,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 23:04:38,Unknown error or wrong error pattern.,Tue Oct  3
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-10-03 23:42:05,Unknown error or wrong error pattern.,Tue Oct  3
